Unit;ADR13;ADR15;ADR16;Ocurrences;Class DeF
org.apache.flink.api.common.operators.base.MapOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.MapPartitionOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.OuterJoinOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.OuterJoinOperatorBase$OuterJoinListIterator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.PartitionOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.ReduceOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.SortPartitionOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.util.FieldList;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.util.FieldSet;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.util.JoinHashMap;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.util.JoinHashMap$Prober;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.util.ListKeyGroupedIterator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.util.ListKeyGroupedIterator$ValuesIterator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.util.TypeComparable;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.util.UserCodeClassWrapper;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.util.UserCodeObjectWrapper;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.resources.GPUResource;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.resources.Resource;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.restartstrategy.RestartStrategies;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.restartstrategy.RestartStrategies$FailureRateRestartStrategyConfiguration;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.restartstrategy.RestartStrategies$FallbackRestartStrategyConfiguration;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.restartstrategy.RestartStrategies$FixedDelayRestartStrategyConfiguration;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.restartstrategy.RestartStrategies$NoRestartStrategyConfiguration;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.restartstrategy.RestartStrategies$RestartStrategyConfiguration;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.serialization.AbstractDeserializationSchema;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.serialization.SimpleStringEncoder;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.serialization.SimpleStringSchema;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.serialization.TypeInformationSerializationSchema;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.state.AggregatingStateDescriptor;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.state.FoldingStateDescriptor;1.0;1.0;1.0;3.0;1.0
